"","age_group","death_chikv","n","death_prop","lower","upper"
"1","[0,10)",FALSE,41043,0.998491667680331,0.998053399231227,0.998833774446962
"2","[0,10)",TRUE,62,0.00150833231966914,0.00116622555303759,0.00194660076877297
"3","[10,20)",FALSE,73970,0.99948654199546,0.999287551770475,0.999631562508479
"4","[10,20)",TRUE,38,0.00051345800454005,0.000368437491520658,0.000712448229524805
"5","[20,30)",FALSE,110601,0.999656540641184,0.999523415709393,0.999753551675533
"6","[20,30)",TRUE,38,0.000343459358815607,0.000246448324467326,0.000476584290607251
"7","[30,40)",FALSE,117276,0.99958235670147,0.999443099059485,0.999687719780906
"8","[30,40)",TRUE,49,0.000417643298529725,0.000312280219093969,0.000556900940515481
"9","[40,50)",FALSE,112851,0.999583695016741,0.99944144483272,0.999690696174371
"10","[40,50)",TRUE,47,0.000416304983259225,0.000309303825629413,0.000558555167280559
"11","[50,60)",FALSE,94712,0.999345812142571,0.999155613539608,0.999494230759807
"12","[50,60)",TRUE,62,0.000654187857429253,0.000505769240193433,0.000844386460391636
"13","[60,70)",FALSE,64254,0.99870991808757,0.99839259650265,0.998966029874983
"14","[60,70)",TRUE,83,0.00129008191242986,0.00103397012501681,0.00160740349735059
"15","[70,80)",FALSE,32838,0.995845337376801,0.9950745490638,0.996498096966527
"16","[70,80)",TRUE,137,0.00415466262319939,0.00350190303347261,0.00492545093620016
"17","[80,90)",FALSE,11418,0.986095517747647,0.983749356611737,0.988112742550309
"18","[80,90)",TRUE,161,0.0139044822523534,0.0118872574496912,0.0162506433882627
"19","[90,100)",FALSE,1640,0.972139893301719,0.962814298082242,0.979240029696055
"20","[90,100)",TRUE,47,0.027860106698281,0.0207599703039448,0.0371857019177585
"21","0-99",FALSE,660603,0.998905231451309,0.998821796607215,0.998982815389391
"22","0-99",TRUE,724,0.00109476854869074,0.0010171846106089,0.00117820339278455
